gene,log2FC,p_value,FDR
A1BG,0.7195806333098408,0.005244525298722857,
A1CF,-0.9199029459035019,0.015460841189861685,
A2M,0.7542987322964158,1.0286209290504526e-09,
A2ML1,-0.7089524627675721,0.07792811744287491,
A3GALT2,0.7031138522442719,0.036221016113765644,
A4GALT,0.5785061844249734,0.0002541736023658213,
A4GNT,-0.6992883908449978,0.16343225737000075,
AAAS,0.7344327122952,3.4054994171971135e-14,
AACS,0.5275091405700442,2.248831738373682e-05,
AADAC,-0.67021985560356,0.08815652910188197,
AADACL2,-1.1211801698260595,0.01300651124545291,
AADACL3,-0.7675335324023965,0.07490027218268719,
AADACL4,-0.8825424181358481,0.08834355417104812,
AADAT,0.6891889722547279,5.394775522445056e-11,
AAGAB,0.6181831078861748,3.2739192047035338e-09,
AAK1,0.8231523624848432,2.2918423660163236e-12,
AAMDC,0.6816028689917426,1.328643009107013e-09,
AAMP,0.7045677701178078,3.308184531542151e-14,
AANAT,-0.08780049298670471,0.8449970199340577,
AAR2,0.64513415974784,3.655466815872782e-11,
AARD,-0.44174182301361015,0.32708635589421564,
AARS1,0.7284987776823368,1.6718405158046636e-13,
AARS2,0.73542734015035,9.807176272835718e-12,
AARSD1,0.6907033237881325,2.956520900246967e-09,
AASDH,0.7068045831849601,3.303524215031428e-13,
AASDHPPT,0.8264151702311244,1.743322444630717e-16,
AASS,0.48585065819098433,0.006612196463690157,
AATF,0.5045726060096343,3.1420974908017653e-06,
AATK,0.20656727436162337,0.38623153447321634,
ABAT,0.42601501340072934,0.0022627932746806185,
ABCA1,0.7016962749059992,6.287283592909495e-06,
ABCA2,0.7822205334590375,2.1173339504165915e-13,
ABCA3,0.710144610882678,1.2121114586874744e-10,
ABCA4,-0.42600861708858373,0.19262740579897286,
ABCA5,0.5685054270396906,3.7183110079620417e-06,
ABCA6,0.8025614515712958,2.657395316989847e-08,
ABCA7,0.8443105447907692,1.3104963927136207e-05,
ABCA8,0.8125639646190965,6.649580763362315e-09,
ABCA9,0.8164220521118086,1.0887309672246522e-08,
ABCA10,0.7744011158050196,4.829746913563213e-08,
ABCA12,-0.8923740977506325,0.030882493001378,
ABCA13,-0.9467813491891994,0.014048127235540999,
ABCB1,-0.24204504427084003,0.32670983062006786,
ABCB4,0.4914059317983897,9.974930521153484e-06,
ABCB5,-0.25646515097074074,0.46610646369515885,
ABCB6,0.7454094152324288,3.9857534262468924e-07,
ABCB7,0.7906563354596788,1.2619658277898474e-16,
ABCB8,0.7914397783663228,5.697872308452644e-13,
ABCB9,0.4551966230204552,0.004720395885994939,
ABCB10,0.7049961848975689,7.7304222837986935e-16,
ABCB11,-0.8413125424877593,0.02772989708619951,
ABCC1,0.827602908273018,4.559317538647878e-15,
ABCC2,0.531982714649249,7.240106170293405e-05,
ABCC3,0.08503610385347693,0.7768614784521102,
ABCC4,1.0111557162314504,3.456918105658677e-06,
ABCC5,0.8147583806407624,5.271111569069301e-11,
ABCC6,0.11448128586773465,0.6485096685243847,
ABCC8,0.24622692971256538,0.2283781025170277,
ABCC9,0.7614678918882746,2.0280373204842693e-15,
ABCC10,0.7108828267349995,2.2630997016717773e-11,
ABCC11,-0.6511805385246042,0.09891389213592047,
ABCC12,-0.15138244596163078,0.6319136320386097,
ABCD1,0.7615034623386797,1.8607941447650376e-09,
ABCD2,-0.2501480877282089,0.3307011100641485,
ABCD3,0.7339799202791146,1.2921620540611639e-14,
ABCD4,0.8085117145611809,1.842237392867051e-13,
ABCE1,0.7174078246016857,1.2459431286879668e-12,
ABCF1,0.7256872087225982,5.707925018610463e-13,
ABCF2,0.6265552510146217,1.047933292699396e-08,
ABCF3,0.7646400217381875,1.8623742014850375e-16,
ABCG1,0.7161990543972047,6.29783152071057e-05,
ABCG2,0.30829101611327364,0.13973490056467583,
ABCG4,-0.0665426050999077,0.8385317088468207,
ABCG5,-0.8086436179332384,0.051240414336293554,
ABCG8,-0.6803588261037865,0.12406054734526074,
ABHD1,0.7929440109777938,7.580783648063017e-08,
ABHD2,0.6705172383367508,0.0007406238757802533,
ABHD3,0.5634050162810663,1.1892184485772337e-05,
ABHD4,0.7296687373639938,2.466743310774295e-10,
ABHD5,0.49646561198075123,2.0095572205662782e-05,
ABHD6,0.5739747957971664,3.466710200304195e-07,
ABHD8,0.7836851180484955,2.1716325175133537e-11,
ABHD10,0.7707876289573,1.0760721912163761e-14,
ABHD11,0.6640159130622749,1.1904779967493116e-08,
ABHD12,0.6717296587994916,2.570048975937257e-07,
ABHD12B,-0.9955115349954585,0.026052706004354484,
ABHD13,0.7159902576700445,9.064916165876184e-15,
ABHD14A,0.7839107106895795,2.2363658773650335e-12,
ABHD14A-ACY1,0.269460674661407,0.54334713608996,
ABHD14B,0.7326229110752167,6.571123078147918e-11,
ABHD15,0.5653532056695989,0.00031923673895073966,
ABHD16A,0.6756950324095966,4.035927456261956e-06,
ABHD16B,-0.7114305012314173,0.2479125198395557,
ABHD17A,0.7349183784255502,2.6643267078916135e-13,
ABHD17B,0.8168998047250972,1.9292990422527327e-16,
ABHD17C,0.3280817029890198,0.030775239068550703,
ABHD18,0.7646533521654235,2.5228433963168605e-15,
ABI1,0.6913785276692791,3.668684925556537e-12,
ABI2,0.7343341202402023,1.0600909608514034e-11,
ABI3,0.7320105285432794,2.747293933638228e-07,
ABI3BP,0.8824974952456276,0.011432392573786438,
ABITRAM,0.5769891464938768,2.9536086837907472e-08,
ABL1,0.7420007726305458,1.378963847703309e-09,
ABL2,0.8110175422043745,0.019578659051712452,
ABLIM1,1.0040231157945245,7.48559616524146e-05,
ABLIM2,0.5917284364439465,8.091981882551022e-05,
ABLIM3,0.747561613753249,2.982234787155514e-08,
ABO,0.4862576334321604,0.0009853237196786337,
ABR,0.7510348337499981,1.1505043599004764e-09,
ABRA,0.15774669471204827,0.4728448592920578,
ABRACL,0.13529543665505114,0.5792300287305356,
ABRAXAS1,0.6580669203481249,4.1622310991294817e-10,
ABRAXAS2,0.7323678448735573,3.315749011765076e-14,
ABT1,0.6725761525919277,2.3422104347285823e-13,
ABTB1,0.7186723395357969,6.414705592283853e-10,
ABTB2,0.6866252431240184,1.2867545345483174e-07,
AC000093.1,0.6239566322745689,0.026773380388601057,
AC000120.2,-0.7305393185867802,0.5201361873760643,
